rank,seed_count,validation_present_class_miou_mean,validation_present_class_miou_population_std,test_present_class_miou_mean,test_present_class_miou_population_std
32,3,0.22062644032986398,0.002814611768731699,0.20202339772803315,0.0023738498280073375
64,3,0.24902476567707663,0.0008318339030928687,0.22568433958491121,0.0023801282204162924
128,3,0.274627277037835,0.0020494047994163655,0.24901322161188447,0.0015223797917110077
256,3,0.2938583110342701,0.000570883377535433,0.2699254892550255,0.0008794164963222521
512,3,0.30927058182247663,0.0009483972317104174,0.2871813724741675,0.0002625155517336387
