rank,seed_count,relative_squared_weight_error_mean,relative_squared_weight_error_population_std
32,3,0.9448352600326496,0.00010215644005622997
64,3,0.9232659899754369,0.00027914237577271114
128,3,0.891966190343601,0.00013412133256342129
256,3,0.8460521886682427,7.15114294079741e-05
512,3,0.7808463587330996,8.904929151380108e-05
