rank,seed_count,activation_normalized_squared_error_mean,activation_normalized_squared_error_population_std
32,3,0.33290731963677594,0.0011819128946143533
64,3,0.29575950422163916,0.0008149352719513249
128,3,0.25881852554672524,0.0005870583531212164
256,3,0.21841895841329484,5.443090669609675e-05
512,3,0.1747982363486423,0.0002472555734048194
