lower_actual_relative_squared_frobenius_error_seed_range,lower_budget,lower_mean_actual_relative_squared_frobenius_error,mean_absolute_change_below_1e_minus_3,mean_absolute_squared_residual_reduction,mean_relative_change_below_1_percent,mean_relative_squared_residual_reduction,method,rank,seed_range_change,upper_actual_relative_squared_frobenius_error_seed_range,upper_budget,upper_mean_actual_relative_squared_frobenius_error
0.0002740713774671555,10,0.9040992405624225,False,0.005950394746421894,True,0.006581572552500177,cp,128,-8.508271439144899e-05,0.0001889886630757065,25,0.8981488458160006
0.0001889886630757065,25,0.8981488458160006,False,0.002903846097164209,True,0.0032331457204356367,cp,128,0.00017938683815199585,0.00036837550122770235,50,0.8952449997188364
0.00036837550122770235,50,0.8952449997188364,False,0.0019262290549397765,True,0.0021516222436816002,cp,128,5.2497041049814896e-05,0.00042087254227751725,100,0.8933187706638966
0.00042087254227751725,100,0.8933187706638966,False,0.0013525803202961706,True,0.0015141071303035084,cp,128,-0.00010234348338966637,0.0003185290588878509,200,0.8919661903436005
0.0003185290588878509,200,0.8919661903436005,True,0.0006272764969784683,True,0.0007032514278784836,cp,128,4.942028253296371e-05,0.0003679493414208146,400,0.891338913846622
2.9993403197203783e-05,10,0.8645269493514028,False,0.009310068944074823,False,0.010768974814561362,cp,256,-1.765290471467118e-06,2.8228112725736665e-05,25,0.855216880407328
2.8228112725736665e-05,25,0.855216880407328,False,0.004473822724823773,True,0.005231214242044606,cp,256,0.00012981377056986432,0.00015804188329560098,50,0.8507430576825042
0.00015804188329560098,50,0.8507430576825042,False,0.002889086318969558,True,0.0033959563852800313,cp,256,7.972782469567452e-05,0.0002377697079912755,100,0.8478539713635347
0.0002377697079912755,100,0.8478539713635347,False,0.0018017826952925198,True,0.002125109695947828,cp,256,-6.868339584575889e-05,0.00016908631214551662,200,0.8460521886682422
0.00016908631214551662,200,0.8460521886682422,True,0.000775599648892844,True,0.0009167279031730934,cp,256,0.0011974714454496826,0.0013665577575951993,400,0.8452765890193493
0.00041818351015066035,10,0.8076509885605567,False,0.013748409241061132,False,0.017022710843905928,cp,512,-0.00014772798209627958,0.0002704555280543808,25,0.7939025793194956
0.0002704555280543808,25,0.7939025793194956,False,0.006427720558097705,True,0.00809635933366952,cp,512,-7.500469214583028e-05,0.0001954508359085505,50,0.7874748587613979
0.0001954508359085505,50,0.7874748587613979,False,0.0040646320280139925,True,0.005161602282017186,cp,512,6.22516038122356e-05,0.0002577024397207861,100,0.7834102267333839
0.0002577024397207861,100,0.7834102267333839,False,0.0025638680002847414,True,0.003272701724836299,cp,512,-4.550813167059076e-05,0.00021219430805019535,200,0.7808463587330992
0.00021219430805019535,200,0.7808463587330992,False,-0.01897382978486739,False,-0.02429905649512394,cp,512,0.02046914098045627,0.020681335288506464,400,0.7998201885179665
