rank,seed_count,relative_squared_weight_error_mean,relative_squared_weight_error_population_std,activation_normalized_squared_error_mean,activation_normalized_squared_error_population_std,validation_present_class_miou_mean,validation_present_class_miou_population_std,test_present_class_miou_mean,test_present_class_miou_population_std,target_layer_compression_factor,full_model_compression_factor
32,3,0.9448352600326496,0.00010215644005622997,0.33290731963677594,0.0011819128946143533,0.22062644032986398,0.002814611768731699,0.20202339772803315,0.0023738498280073375,675.940223110924,4.228927054530368
64,3,0.9232659899754369,0.00027914237577271114,0.29575950422163916,0.0008149352719513249,0.24902476567707663,0.0008318339030928687,0.22568433958491121,0.0023801282204162924,342.5850224023896,4.209332067782476
128,3,0.891966190343601,0.00013412133256342129,0.25881852554672524,0.0005870583531212164,0.274627277037835,0.0020494047994163655,0.24901322161188447,0.0015223797917110077,172.47003222341567,4.170681859484969
256,3,0.8460521886682427,7.15114294079741e-05,0.21841895841329484,5.443090669609675e-05,0.2938583110342701,0.000570883377535433,0.2699254892550255,0.0008794164963222521,86.5324423367105,4.0954723689586805
512,3,0.7808463587330996,8.904929151380108e-05,0.1747982363486423,0.0002472555734048194,0.30927058182247663,0.0009483972317104174,0.2871813724741675,0.0002625155517336387,43.34096307492982,3.952907591277838
