rank,target_layer_parameter_count,target_layer_parameter_ratio,target_layer_compression_factor,full_model_parameter_count,full_model_parameter_ratio,full_model_compression_factor,target_layer_macs,full_model_macs,full_model_mac_ratio
32,152032,0.0014794207620869703,675.940223110924,31779136,0.23646659947201482,4.228927054530368,24409440,54491706720,0.7629458477242619
64,299968,0.0029189834190282596,342.5850224023896,31927072,0.23756738216351064,4.209332067782476,48818880,54516116160,0.7632876076362604
128,595840,0.005798108732910838,172.47003222341567,32222944,0.2397689475465023,4.170681859484969,97637760,54564935040,0.7639711274602574
256,1187584,0.011556359360675993,86.5324423367105,32814688,0.2441720783124856,4.0954723689586805,195275520,54662572800,0.7653381671082513
512,2371072,0.023072860616206305,43.34096307492982,33998176,0.2529783398444522,3.952907591277838,390551040,54857848320,0.7680722464042392
