method,rank,seed_count,reconstruction_squared_residual_range,validation_present_class_miou_range,test_present_class_miou_range,validation_present_class_miou_min,validation_present_class_miou_max,test_present_class_miou_min,test_present_class_miou_max
cp,32,3,0.00010802664209841328,0.012379553914235925,0.017931756284090494,0.2066944301856123,0.2190739840998482,0.1811862970689912,0.1991180533530817
cp,64,3,0.00032575063752737776,0.007499307297988478,0.013966611289030706,0.2403121507531691,0.2478114580511576,0.2164741876437531,0.2304407989327838
cp,128,3,0.00027407137746704446,0.003701142661214407,0.0013612879520090992,0.2683217661254871,0.2720229087867015,0.2454736055866077,0.2468348935386168
cp,256,3,0.000029993403197203783,0.0036624763785571,0.0022322148008344644,0.2875381876504314,0.2912006640289885,0.2632150421390224,0.2654472569398569
cp,512,3,0.00041818351015066035,0.001999873802481067,0.0011967237846343681,0.3030121811729353,0.3050120549754164,0.2806542037488253,0.2818509275334597
