checkpoint,dense_target_layer_parameters,device,device_name,label,latency_iterations,latency_max_ms,latency_mean_ms,latency_median_ms,latency_min_ms,latency_ms,latency_std_ms,latency_warmup_iterations,macs,model_kind,parameters,rank,target_layer_compression_ratio,target_layer_parameters,total_compression_ratio,total_parameters
/content/smallnet/model/best_model.pth,102764544,cuda,Tesla T4,dense,100,116.93989800005511,115.06197079998856,114.89492300006532,113.23752000043896,115.06197079998856,0.825311386540358,20,71422771200,dense,134391648,dense,1.0,102764544,1.0,134391648
/content/smallnet/model/finetuned_rank_64.pth,102764544,cuda,Tesla T4,cp_rank_64_existing_finetuned,100,49.38483199930488,47.52602862000458,47.377599500123324,46.17843500000163,47.52602862000458,0.7839722883374157,20,54516116160,cp_finetuned_existing,31927072,64,0.0029189834190282596,299968,0.23756738216351064,31927072
/content/smallnet/model/finetuned_rank_128.pth,102764544,cuda,Tesla T4,cp_rank_128_existing_finetuned,100,52.86338699988846,51.60400467000727,51.61155849964416,49.821972000245296,51.60400467000727,0.680888130737514,20,54564935040,cp_finetuned_existing,32222944,128,0.005798108732910838,595840,0.2397689475465023,32222944
/content/smallnet/model/finetuned_rank_256.pth,102764544,cuda,Tesla T4,cp_rank_256_existing_finetuned,100,61.4373179996619,60.487462479995884,60.516393999932916,58.56976300037786,60.487462479995884,0.49545645508758485,20,54662572800,cp_finetuned_existing,32814688,256,0.011556359360675993,1187584,0.2441720783124856,32814688
