checkpoint,dense_target_layer_parameters,frequency_weighted_iou,ignore_class,ignore_index,label,mean_iou_all_classes,mean_iou_present_classes,model_kind,parameters,pixel_accuracy,rank,split,target_layer_compression_ratio,target_layer_parameters,total_compression_ratio,total_parameters
/content/smallnet/model/finetuned_rank_64.pth,102764544,0.7690178732985334,Void,30,cp_rank_64_existing_finetuned,0.27303125269981093,0.29186099426531514,cp_finetuned_existing,31927072,0.8636503667432723,64,val,0.0029189834190282596,299968,0.23756738216351064,31927072
/content/smallnet/model/finetuned_rank_64.pth,102764544,0.7436806427864331,Void,30,cp_rank_64_existing_finetuned,0.25612069994430536,0.27378419649218844,cp_finetuned_existing,31927072,0.8435566853192273,64,test,0.0029189834190282596,299968,0.23756738216351064,31927072
/content/smallnet/model/finetuned_rank_128.pth,102764544,0.76605101642676,Void,30,cp_rank_128_existing_finetuned,0.2709039160634347,0.28958694475746466,cp_finetuned_existing,32222944,0.8623571953976444,128,val,0.005798108732910838,595840,0.2397689475465023,32222944
/content/smallnet/model/finetuned_rank_128.pth,102764544,0.7389656831420033,Void,30,cp_rank_128_existing_finetuned,0.25061797298217003,0.2679019711188714,cp_finetuned_existing,32222944,0.8410969804583438,128,test,0.005798108732910838,595840,0.2397689475465023,32222944
/content/smallnet/model/finetuned_rank_256.pth,102764544,0.7491139506624154,Void,30,cp_rank_256_existing_finetuned,0.2500984709546244,0.2673466413652882,cp_finetuned_existing,32814688,0.8472965409910751,256,val,0.011556359360675993,1187584,0.2441720783124856,32814688
/content/smallnet/model/finetuned_rank_256.pth,102764544,0.7152715792046911,Void,30,cp_rank_256_existing_finetuned,0.21971824376901783,0.2348712260979156,cp_finetuned_existing,32814688,0.8205687470278665,256,test,0.011556359360675993,1187584,0.2441720783124856,32814688
