actual_relative_frobenius_error,actual_relative_squared_frobenius_error,all_class_miou,checkpoint_sha256,dataset_validation_report_reference,dataset_validation_report_sha256,dense_target_layer_parameter_count,frequency_weighted_iou,full_model_macs,full_model_parameter_count,max_unfolding_tail_bound_squared,method,model_kind,output_mode_tail_bound_squared,pixel_accuracy,present_class_miou,rank,seed,split,status,target_layer_macs,target_layer_parameter_count
0.8841978007107292,0.7818057507816903,0.28897527111890686,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7629026011924037,54775480320,33498976,0.7818057507816906,matrix_svd_output_unfolding,matrix_svd_output_unfolding_zero_shot,0.7818057507816906,0.8565274175193537,0.30890460016159005,64,,test,completed,308183040,1871872
0.9649177821610679,0.9310663263306342,0.23132678029295384,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7496332469692745,54516116160,31927072,0.7818057507816906,cp,cp_structural_zero_shot,0.7818057507816906,0.8555018102275903,0.24728035134764031,64,0,val,completed,48818880,299968
0.9649177821610679,0.9310663263306342,0.21557365061453976,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7280184506340405,54516116160,31927072,0.7818057507816906,cp,cp_structural_zero_shot,0.7818057507816906,0.8385020517066907,0.23044079893278388,64,0,test,completed,48818880,299968
0.9648262764068389,0.9308897436450859,0.23182362204785717,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7476135422738899,54516116160,31927072,0.7818057507816906,cp,cp_structural_zero_shot,0.7818057507816906,0.8534317655895233,0.24781145805115767,64,1,val,completed,48818880,299968
0.9648262764068389,0.9308897436450859,0.20767313811634744,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7235103016106122,54516116160,31927072,0.7818057507816906,cp,cp_structural_zero_shot,0.7818057507816906,0.8348842079360601,0.22199542350368173,64,1,test,completed,48818880,299968
0.9649950747452618,0.9312154942826134,0.2248081410271582,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7437627440494095,54516116160,31927072,0.7818057507816906,cp,cp_structural_zero_shot,0.7818057507816906,0.8517457904148951,0.2403121507531691,64,2,val,completed,48818880,299968
0.9649950747452618,0.9312154942826134,0.20250811102157554,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7217720251207516,54516116160,31927072,0.7818057507816906,cp,cp_structural_zero_shot,0.7818057507816906,0.8346966280235953,0.21647418764375315,64,2,test,completed,48818880,299968
0.8557540710534913,0.732315030124624,0.3267101256112322,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7915715772277973,55083663360,35366752,0.7323150301246241,matrix_svd_output_unfolding,matrix_svd_output_unfolding_zero_shot,0.7323150301246241,0.877595569881263,0.34924185841200683,128,,val,completed,616366080,3739648
0.8557540710534913,0.732315030124624,0.2963445832328496,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7645643306121307,55083663360,35366752,0.7323150301246241,matrix_svd_output_unfolding,matrix_svd_output_unfolding_zero_shot,0.7323150301246241,0.8580502608053165,0.3167821406971841,128,,test,completed,616366080,3739648
0.9509073054309112,0.9042247035218761,0.25101068443997177,1576b92ebb359a519d57d489f8ee823c033588fbd7c77b1c9091606f42fb74a3,/content/smallnet/results/camvid_vgg_cp/dataset_validation_report.json,f1bb932fa776a2065507de6b29bdc174c139a1e20f8c4172e04df74af037f57b,102764544,0.7606196394893037,54564935040,32222944,0.7323150301246241,cp,cp_structural_zero_shot,0.7323150301246241,0.8606277910164746,0.2683217661254871,128,0,val,completed,97637760,595840
