actual_relative_squared_frobenius_error_max,actual_relative_squared_frobenius_error_mean,actual_relative_squared_frobenius_error_min,actual_relative_squared_frobenius_error_seed_range,actual_relative_squared_frobenius_error_std_population,completed_seed_count,expected_seed_count,gap_above_max_bound_mean,iteration_budget,max_unfolding_tail_bound_squared,mean_absolute_squared_residual_reduction_50_to_100,mean_change_50_to_100_less_than_1e_minus_3,mean_relative_reduction_10_to_100_less_than_1_percent,mean_relative_squared_residual_reduction_10_to_100,method,output_mode_svd_residual_squared,rank,seed_range_change_10_to_100,seed_variability_trend_10_to_100
0.9042247035218761,0.9040992405624225,0.903950632144409,0.0002740713774671555,0.00011307980714420121,3,3,0.17178421043779846,10,0.7323150301246241,0.0019262290549397765,False,False,0.011923989552097797,cp,0.7323150301246241,128,0.00014680116481036176,increased
0.8982199804615785,0.8981488458160006,0.8980309917985028,0.0001889886630757065,8.392934916635391e-05,3,3,0.16583381569137656,25,0.7323150301246241,0.0019262290549397765,False,False,0.011923989552097797,cp,0.7323150301246241,128,0.00014680116481036176,increased
0.8953977694609871,0.8952449997188364,0.8950293939597594,0.00036837550122770235,0.00015681496791558754,3,3,0.16292996959421235,50,0.7323150301246241,0.0019262290549397765,False,False,0.011923989552097797,cp,0.7323150301246241,128,0.00014680116481036176,increased
0.8935068422514795,0.8933187706638966,0.893085969709202,0.00042087254227751725,0.0001747073007870611,3,3,0.16100374053927258,100,0.7323150301246241,0.0019262290549397765,False,False,0.011923989552097797,cp,0.7323150301246241,128,0.00014680116481036176,increased
0.8645458697995494,0.8645269493514028,0.8645158763963522,2.9993403197203783e-05,1.3443422673214842e-05,3,3,0.20428783014881702,10,0.6602391192025858,0.002889086318969558,False,False,0.019285665993844125,cp,0.6602391192025858,256,0.00020777630479407172,increased
0.8552337770803958,0.855216880407328,0.8552055489676701,2.8228112725736665e-05,1.2177450586870355e-05,3,3,0.1949777612047422,25,0.6602391192025858,0.002889086318969558,False,False,0.019285665993844125,cp,0.6602391192025858,256,0.00020777630479407172,increased
0.8508344424701584,0.8507430576825042,0.8506764005868628,0.00015804188329560098,6.684760421092265e-05,3,3,0.19050393847991842,50,0.6602391192025858,0.002889086318969558,False,False,0.019285665993844125,cp,0.6602391192025858,256,0.00020777630479407172,increased
0.8479771828682,0.8478539713635347,0.8477394131602087,0.0002377697079912755,9.726173700422138e-05,3,3,0.18761485216094886,100,0.6602391192025858,0.002889086318969558,False,False,0.019285665993844125,cp,0.6602391192025858,256,0.00020777630479407172,increased
0.8078424404745772,0.8076509885605567,0.8074242569644265,0.00041818351015066035,0.00017253570455183883,3,3,0.2544400725557834,10,0.5532109160047733,0.0040646320280139925,False,False,0.03001390720808272,cp,0.5532109160047733,512,-0.00016048107042987425,decreased
0.7940455573719367,0.7939025793194956,0.7937751018438823,0.0002704555280543808,0.00011095569408639617,3,3,0.24069166331472225,25,0.5532109160047733,0.0040646320280139925,False,False,0.03001390720808272,cp,0.5532109160047733,512,-0.00016048107042987425,decreased
0.78756640187933,0.7874748587613979,0.7873709510434215,0.0001954508359085505,8.027004345760067e-05,3,3,0.23426394275662454,50,0.5532109160047733,0.0040646320280139925,False,False,0.03001390720808272,cp,0.5532109160047733,512,-0.00016048107042987425,decreased
0.7835194611707216,0.7834102267333839,0.7832617587310008,0.0002577024397207861,0.00010880285329939018,3,3,0.23019931072861055,100,0.5532109160047733,0.0040646320280139925,False,False,0.03001390720808272,cp,0.5532109160047733,512,-0.00016048107042987425,decreased
