rank,seed_count,relative_squared_weight_error_mean,relative_squared_weight_error_population_std,relative_squared_weight_error_min,relative_squared_weight_error_max,activation_normalized_squared_error_mean,activation_normalized_squared_error_population_std,activation_normalized_squared_error_min,activation_normalized_squared_error_max,activation_cosine_similarity_mean,activation_cosine_similarity_population_std,activation_cosine_similarity_min,activation_cosine_similarity_max,validation_present_class_miou_mean,validation_present_class_miou_population_std,validation_present_class_miou_min,validation_present_class_miou_max,test_present_class_miou_mean,test_present_class_miou_population_std,test_present_class_miou_min,test_present_class_miou_max,target_layer_parameter_count,target_layer_parameter_ratio,target_layer_compression_factor,full_model_parameter_count,full_model_parameter_ratio,full_model_compression_factor,target_layer_macs,full_model_macs,full_model_mac_ratio
32,3,0.9448352600326496,0.00010215644005622997,0.9446936876321719,0.9449309831319471,0.33290731963677594,0.0011819128946143533,0.3317479196492844,0.3345297184784337,0.8177969371747159,0.0006427823018482808,0.8169035164383831,0.8183889168523459,0.22062644032986398,0.002814611768731699,0.21665889431961885,0.22288768965012984,0.20202339772803315,0.0023738498280073375,0.19877757318491474,0.20438874638431714,152032,0.0014794207620869703,675.940223110924,31779136,0.23646659947201482,4.228927054530368,24409440,54491706720,0.7629458477242619
64,3,0.9232659899754369,0.00027914237577271114,0.9229715657782929,0.9236409442374968,0.29575950422163916,0.0008149352719513249,0.2946259917616163,0.29650665272819055,0.8399406438106066,0.00046290505975363607,0.8395349250807131,0.840588436738772,0.24902476567707663,0.0008318339030928687,0.24785427290483833,0.24971190154305278,0.22568433958491121,0.0023801282204162924,0.22356171178889556,0.22900803142396237,299968,0.0029189834190282596,342.5850224023896,31927072,0.23756738216351064,4.209332067782476,48818880,54516116160,0.7632876076362604
128,3,0.891966190343601,0.00013412133256342129,0.8917837050803622,0.8921022341392496,0.25881852554672524,0.0005870583531212164,0.25812700256514726,0.2595621604337299,0.8614908534534994,0.0003397403119727175,0.8610685375436617,0.8619004356347427,0.274627277037835,0.0020494047994163655,0.27211617403977495,0.27713616861348295,0.24901322161188447,0.0015223797917110077,0.2468767869071799,0.250312080265212,595840,0.005798108732910838,172.47003222341567,32222944,0.2397689475465023,4.170681859484969,97637760,54564935040,0.7639711274602574
256,3,0.8460521886682427,7.15114294079741e-05,0.8459808526007366,0.8461499389128821,0.21841895841329484,5.443090669609675e-05,0.21836183251030078,0.21849220423411528,0.8844980618948438,3.3306051286607396e-05,0.884455635490593,0.8845369934418473,0.2938583110342701,0.000570883377535433,0.293279494058297,0.2946351514942932,0.2699254892550255,0.0008794164963222521,0.26889073358192006,0.27104037908621736,1187584,0.011556359360675993,86.5324423367105,32814688,0.2441720783124856,4.0954723689586805,195275520,54662572800,0.7653381671082513
512,3,0.7808463587330996,8.904929151380108e-05,0.7807256778165682,0.780937872124617,0.1747982363486423,0.0002472555734048194,0.17458524394596456,0.17514489635901742,0.9087284659472644,0.00012889090001017776,0.9085482376807917,0.9088421941680618,0.30927058182247663,0.0009483972317104174,0.3080353341566966,0.310340763239341,0.2871813724741675,0.0002625155517336387,0.28690149264740106,0.2875325517879473,2371072,0.023072860616206305,43.34096307492982,33998176,0.2529783398444522,3.952907591277838,390551040,54857848320,0.7680722464042392
