rank,reconstruction_error_mean,reconstruction_error_std,activation_error_mean,activation_error_std,validation_miou_mean,validation_miou_std,test_miou_mean,test_miou_std,compression_factor,target_layer_parameter_count,full_model_parameter_count,target_layer_macs,full_model_macs
32,0.9448352600326496,0.00012511557603844925,0.33290731963677594,0.0014475417561105259,0.22062644032986392,0.0034471813287125846,0.20202339772803313,0.0029073604023057724,675.940223110924,152032.0,31779136.0,24409440.0,54491706720.0
64,0.9232659899754369,0.00034187819311573623,0.29575950422163916,0.0009980877948384793,0.24902476567707657,0.001018784306662627,0.22568433958491121,0.002915049831209235,342.5850224023896,299968.0,31927072.0,48818880.0,54516116160.0
128,0.891966190343601,0.00016426441420121753,0.2588185255467252,0.0007189967071928223,0.274627277037835,0.0025099980174905223,0.24901322161188444,0.0018645268422082676,172.47003222341567,595840.0,32222944.0,97637760.0,54564935040.0
256,0.8460521886682427,8.758325641329795e-05,0.21841895841329476,6.666397382123235e-05,0.2938583110342701,0.0006991864887992278,0.2699254892550255,0.0010770608436878422,86.5324423367105,1187584.0,32814688.0,195275520.0,54662572800.0
512,0.7808463587330997,0.00010906266308257499,0.1747982363486423,0.0003028249954505443,0.3092705818224766,0.00116154464557929,0.2871813724741674,0.0003215145756463437,43.34096307492982,2371072.0,33998176.0,390551040.0,54857848320.0
